,char,charname,birthname,types,universes,birthplace,superpowers,religions,gender,occupation,memberof
0,http://www.wikidata.org/entity/Q18754954,Silk,CindyMoon,"mutate, comics character","Earth-616, Marvel Universe",,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
1,http://www.wikidata.org/entity/Q3127430,Snowbird,Narya,"demigod or quasi-deity in a work of fiction, comics character",Marvel Universe,,"flight, shapeshifting, superhuman strength, retrocognition",,,,
2,http://www.wikidata.org/entity/Q546340,Thunderbird,JohnProudstar,"television character, animated character, mutant",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength",,,,
3,http://www.wikidata.org/entity/Q1194236,Cannonball,SamuelZacheryGuthrie,"superhero film character, animated character, mutant","Earth-616, Marvel Universe",,thermo-chemical energy,,,,
4,http://www.wikidata.org/entity/Q2087326,Shriek,FrancesLouiseBarrison,"film character, comics character",Marvel Universe,,sonic scream,,,,
5,http://www.wikidata.org/entity/Q1429836,Galactus,Galan,"fictional humanoid extraterrestrial, cosmic entity, comics character","Earth-616, Marvel Universe",,"superhuman durability, superhuman speed, reality warping, teleportation, immortality, superhuman strength, levitation, force field, healing factor, psychokinesis, time travel, telepathy",,,,
6,http://www.wikidata.org/entity/Q1779361,HarryOsborn,HaroldTheopolisOsborn,"superhero film character, animated character, mutate, comics character",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
7,http://www.wikidata.org/entity/Q1771294,ChrisBradley,ChristopherBradley,"superhero film character, mutant","Earth-616, Marvel Universe",,"technopathy, electrokinesis",,,,
8,http://www.wikidata.org/entity/Q48412444,UltimateMagneto,ErikLensherr,mutant,Marvel Universe,,magnetism manipulation,,,,
9,http://www.wikidata.org/entity/Q840291,Magneto,MaxEisenhardt,"superhero film character, animated character, comics character, mutant","Earth-616, Marvel Universe",Germany,"electromagnetism manipulation, magnetism manipulation",Judaism,male,"teacher, head teacher, ruler, spy, orderly","X-Men, Brotherhood of Mutants, New Mutants, Hellfire Club, Excalibur, Acolytes, Savage Land Mutates"
10,http://www.wikidata.org/entity/Q49262738,UltimateAngel,WarrenWorthingtonIII,mutant,Marvel Universe,,flight,,,,
11,http://www.wikidata.org/entity/Q2568977,Vulcan,GabrielSummers,mutant,"Earth-616, Marvel Universe",,"flight, power mimicry or absorption, magnetism manipulation, electrokinesis, force field, healing factor",,,,
12,http://www.wikidata.org/entity/Q547306,KittyPryde,KatherineAnnePryde,"superhero film character, animated character, mutant","Earth-616, Marvel Universe",Deerfield,intangibility,Judaism,female,"teacher, superhero, bartender, aircraft pilot, government agent, circus performer","X-Men, S.H.I.E.L.D., New Mutants, Guardians of the Galaxy, Excalibur"
13,http://www.wikidata.org/entity/Q996154,Wolfsbane,RahneSinclair,"superhero film character, werewolf in a work of fiction, animated character, mutant","Earth-616, Marvel Universe",,"superhuman senses, superhuman speed, superhuman strength, lycanthropy, healing factor",,,,
14,http://www.wikidata.org/entity/Q737236,Mystique,RavenDarkhÃ¶lme,"superhero film character, animated character, mutant",Marvel Universe,,shapeshifting,,,,
15,http://www.wikidata.org/entity/Q48958279,UltimateKittyPryde,KatherinePryde,mutant,Marvel Universe,,intangibility,,,,
16,http://www.wikidata.org/entity/Q2604744,AnyaCorazon,AnyaSofiaCorazon,"mutate, comics character",Marvel Universe,,"superhuman agility / reflexes, superhuman strength",,,,
17,http://www.wikidata.org/entity/Q1149790,AdamX,AdamNeramani,"extraterrestrialâhuman hybrid in a work of fiction, mutant","Earth-616, Marvel Universe",,"superhuman agility / reflexes, superhuman speed, superhuman strength, healing factor",,,,
18,http://www.wikidata.org/entity/Q647105,Banshee,SeanCassidy,"superhero film character, animated character, comics character, mutant","Earth-616, Marvel Universe",County Mayo,sonic scream,Catholicism,male,"superhero, detective, head teacher, barker, criminal","Interpol, X-Men, New York City Police Department, Generation X, Factor Three, X-Corps"
19,http://www.wikidata.org/entity/Q572626,Rhino,ÐÐ»ÐµÐºÑÐµÐ¹ÐÐ¸ÑÐ°Ð¹Ð»Ð¾Ð²Ð¸ÑÐ¡Ð¸ÑÐµÐ²Ð¸Ñ,"gamma mutate, film character, animated character, comics character",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength",,,,
20,http://www.wikidata.org/entity/Q944173,Nuke,FrankSimpson,"television character, mutate",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength",,,,
21,http://www.wikidata.org/entity/Q21188808,UltimateFirestar,ElizabethAllan,mutant,Marvel Universe,,"pyrokinesis, flight",,,,
22,http://www.wikidata.org/entity/Q48777057,ElliotBoggs,ElliotBoggs,mutant,Marvel Universe,,reality warping,,,,
23,http://www.wikidata.org/entity/Q3545629,Ahab,RoderickCampbell,"cyborg in a work of fiction, television character, comics character","Marvel Universe, Earth-811",,"superhuman strength, superhuman durability",,,,
24,http://www.wikidata.org/entity/Q327553,Daredevil,MatthewMichaelMurdock,"superhero film character, television character, animated character, fictional human, mutate","Earth-616, Marvel Universe",New York City,superhuman senses,Catholicism,male,"ninja, lawyer, superhero, martial artist, fictional vigilante","Avengers, Defenders, Marvel Knights"
25,http://www.wikidata.org/entity/Q1607791,Legion,DavidCharlesHaller,"television character, animated character, mutant",Marvel Universe,,"shapeshifting, reality warping, chronokinesis, pyrokinesis, psychokinesis, telepathy",,,,
26,http://www.wikidata.org/entity/Q3567749,Whirlwind,DavidCannon,"fictional human, mutant",Marvel Universe,,"flight, superhuman agility / reflexes, superhuman speed, aerokinesis",,,,
27,http://www.wikidata.org/entity/Q2597584,WildChild,KyleGibney,mutant,Marvel Universe,,"superhuman senses, superhuman agility / reflexes, healing factor",,,,
28,http://www.wikidata.org/entity/Q2737568,Feral,MariaCallasantos,mutant,"Earth-616, Marvel Universe",,"superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
